stigmaID,plantID,slide#,cover,day,round,month,year,stigma#,dpurp_pollen,amocan_pollen,aster_pollen,dcand_pollen,unknown_hetero_pollen,date_processed,processed_by,notes
21ub_12_1_12july,21UB,12,r,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
21ub_12_2_12july,21UB,12,r,12,1,July,2018,2,6,2,0,0,0,9/17/2018,AR,
21ub_12_3_12july,21UB,12,r,12,1,July,2018,3,13,7,1,0,1,9/17/2018,AR,
28ub_13_1_12july,28UB,13,l,12,1,July,2018,1,4,17,0,0,0,9/17/2018,AR,
28ub_13_2_12july,28UB,13,l,12,1,July,2018,2,10,9,0,0,0,9/17/2018,AR,
28ub_13_3_12july,28UB,13,l,12,1,July,2018,3,3,7,0,0,0,9/17/2018,AR,
28ub_13_1_12july,28UB,13,r,12,1,July,2018,1,19,7,0,1,1,9/17/2018,AR,
28ub_13_2_12july,28UB,13,r,12,1,July,2018,2,1,0,0,0,0,9/17/2018,AR,
28ub_13_3_12july,28UB,13,r,12,1,July,2018,3,23,16,0,0,0,9/17/2018,AR,
28ub_14_1_12july,28UB,14,l,12,1,July,2018,1,1,20,0,0,0,9/17/2018,AR,reheated and pressed slide to better view pollen; tore stigma tip and moved some adhered pollen directly above stigma ~1 slide view. Kept in count
28ub_14_2_12july,28UB,14,l,12,1,July,2018,2,17,8,0,0,0,9/17/2018,AR,reheated and pressed slide to better view pollen; may have tore stigma tip and moved some adhered pollen as with stigma 1 for this slide; # of grains possibly  removed:  6 dalpur; 1 amocan; 1 dalcan; and 1 aster
28ub_14_3_12july,28UB,14,l,12,1,July,2018,3,2,0,0,0,0,9/17/2018,AR,
28ub_14_1_12july,28UB,14,r,12,1,July,2018,1,3,0,1,1,0,9/17/2018,AR,
28ub_14_2_12july,28UB,14,r,12,1,July,2018,2,11,11,1,0,0,9/17/2018,AR,
28ub_14_3_12july,28UB,14,r,12,1,July,2018,3,1,0,1,1,0,9/17/2018,AR,
20ub_15_1_12july,20UB,15,l,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
20ub_15_2_12july,20UB,15,l,12,1,July,2018,2,5,1,0,0,0,9/17/2018,AR,
20ub_15_3_12july,20UB,15,l,12,1,July,2018,3,1,0,0,0,0,9/17/2018,AR,
20ub_15_1_12july,20UB,15,r,12,1,July,2018,1,1,1,0,0,0,9/17/2018,AR,
