plantID,round,year,month,day,#bloom_flwheads,head1,head1_RF,head2,head2_RF,head3,head3_RF,head4,head4_RF,head5,head5_RF,#pre_flwheads,#post_flwheads,#stems,#stigma,observer,entered by,Column 18
19B,3,2018,July,21,1,18,R,0,0,0,0,0,0,0,0,2,0,1,2,AR,ED,
20B,3,2018,July,21,15,24,R,12,R,24,R,12,R,12,R,1,1,4,7,AR,ED,
7UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,AR,ED,
6UB,3,2018,July,21,2,24,R,12,R,0,0,0,0,0,0,1,0,3,3,AR,ED,
3UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,AR,ED,
2UB,3,2018,July,21,3,24,R,18,R,36,R,0,0,0,0,0,6,3,7,AR,ED,
10UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,AR,ED,
1UB,3,2018,July,21,8,5,F,5,F,3,F,24,R,18,R,9,0,6,7,AR,ED,
4UB,3,2018,July,21,3,4,F,24,R,24,R,0,0,0,0,0,2,7,5,AR,ED,
5UB,3,2018,July,21,2,12,R,6,R,0,0,0,0,0,0,0,0,2,2,AR,ED,
8UB,3,2018,July,21,1,12,R,0,0,0,0,0,0,0,0,0,0,1,1,AR,ED,
9UB,3,2018,July,21,2,7,F,12,R,0,0,0,0,0,0,0,0,1,2,AR,ED,
46B,9,2018,August,10,2,5,F,8,F,0,0,0,0,0,0,1,2,3,0,AR,ED,
41B,9,2018,August,10,2,2,F,3,F,0,0,0,0,0,0,2,2,2,0,AR,ED,
9UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,GP,ED,
7UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,GP,ED,
46UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
8UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
5UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GP,ED,stem was dead and eaten
4UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,GP,ED,
6UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,GP,ED,
3UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,GP,ED,
2UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,GP,ED,
33UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
10UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,GP,ED,
47UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
1UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,GP,ED,
32UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
48UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
31UB,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,GP,ED,
48B,8,2018,August,6,1,2,F,0,0,0,0,0,0,0,0,0,1,2,1,GP,ED,
8B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,GP,ED,
7B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,GP,ED,
4B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,GP,ED,
31B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
46B,8,2018,August,6,2,12,R,1,F,0,0,0,0,0,0,1,1,3,2,GP,ED,one stigma collected had 1F head with new flowers
2B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,GP,ED,
1B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,GP,ED,
6B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,GP,ED,
47B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
9B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,GP,ED,
3B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,GP,ED,
5B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,GP,ED,
32B,8,2018,August,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
25B,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,GP,ED,
22B,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,GP,ED,
21B,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
23B,7,2018,August,1,5,18,R,24,R,12,R,12,R,18,R,0,2,2,8,GP,ED,
30UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,GP,ED,
37UB,7,2018,August,1,1,5,F,0,0,0,0,0,0,0,0,0,0,1,1,GP,ED,
38UB,7,2018,August,1,3,18,R,1,F,4,F,0,0,0,0,0,0,2,3,GP,ED,
40UB,7,2018,August,1,2,7,F,12,R,0,0,0,0,0,0,0,0,2,2,GP,ED,
27UB,7,2018,August,1,6,12,R,12,R,12,R,18,R,12,R,0,0,4,6,GP,ED,
26UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
25UB,7,2018,August,1,1,5,F,0,0,0,0,0,0,0,0,1,7,3,1,GP,ED,
41UB,7,2018,August,1,2,12,R,24,R,0,0,0,0,0,0,2,0,2,3,GP,ED,
28UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,GP,ED,
42UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,GP,ED,
23UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,GP,ED,
21UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,GP,ED,
24UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0,GP,ED,stems broken
22UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
39UB,7,2018,August,1,1,4,F,0,0,0,0,0,0,0,0,0,0,1,0,GP,ED,no stigma 2/aug/2018
29UB,7,2018,August,1,1,3,F,0,0,0,0,0,0,0,0,4,5,5,0,GP,ED,no stigma 2/aug/2018
44UB,7,2018,August,1,1,2,F,0,0,0,0,0,0,0,0,0,1,2,1,GP,ED,
45UB,7,2018,August,1,11,3,F,60,R,12,R,6,R,12,R,0,11,3,5,GP,ED,
36UB,7,2018,August,1,3,1,F,18,R,12,R,0,0,0,0,1,3,4,4,GP,ED,
19UB,7,2018,August,1,1,2,F,0,0,0,0,0,0,0,0,0,12,5,1,GP,ED,
15UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,GP,ED,
13UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GP,ED,
17UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,GP,ED,
34UB,7,2018,August,1,2,2,F,4,F,0,0,0,0,0,0,0,1,3,2,GP,ED,
16UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,GP,ED,
18UB,7,2018,August,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,GP,ED,
38UB,5,2018,July,26,1,24,R,0,0,0,0,0,0,0,0,2,6,2,2,AR,ED,
37UB,5,2018,July,26,1,12,R,0,0,0,0,0,0,0,0,0,0,1,2,AR,ED,
30UB,5,2018,July,26,1,3,F,0,0,0,0,0,0,0,0,0,1,1,1,AR,ED,
28UB,5,2018,July,26,5,12,R,5,F,8,F,5,F,4,F,0,8,4,5,AR,ED,
29UB,5,2018,July,26,3,5,F,9,F,5,F,0,0,0,0,3,4,5,3,AR,ED,
27UB,5,2018,July,26,3,36,R,24,R,12,R,0,0,0,0,3,0,4,6,AR,ED,
26UB,5,2018,July,26,1,6,F,0,0,0,0,0,0,0,0,0,0,1,1,AR,ED,
25UB,5,2018,July,26,3,24,R,6,F,9,F,0,0,0,0,0,6,3,4,AR,ED,
22UB,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,AR,ED,
24UB,5,2018,July,26,4,12,R,6,F,1,F,2,F,0,0,1,1,7,2,AR,ED,
39UB,5,2018,July,26,1,12,R,0,0,0,0,0,0,0,0,0,0,1,1,AR,ED,
23UB,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,AR,ED,
21UB,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,AR,ED,
36UB,5,2018,July,26,4,12,R,7,F,7,F,12,R,0,0,4,0,4,4,AR,ED,
35UB,5,2018,July,26,5,36,R,24,R,18,R,4,F,5,F,0,0,8,0,AR,ED,
11UB,5,2018,July,26,1,2,F,0,0,0,0,0,0,0,0,0,1,2,0,AR,ED,
12UB,5,2018,July,26,1,9,F,0,0,0,0,0,0,0,0,0,3,4,0,AR,ED,no flowers
14UB,5,2018,July,26,5,12,R,24,R,72,R,6,R,6,F,0,0,2,6,AR,ED,
16UB,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,AR,ED,
34UB,5,2018,July,26,3,6,F,12,R,36,R,0,0,0,0,0,0,3,0,AR,ED,
18UB,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,AR,ED,
20UB,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,AR,ED,
19UB,5,2018,July,26,12,12,R,24,R,12,R,12,R,6,R,0,4,8,6,AR,ED,must 1 flower
15UB,5,2018,July,26,12,12,R,12,R,12,R,12,R,12,R,0,0,3,5,AR,ED,
13UB,5,2018,July,26,1,36,R,0,0,0,0,0,0,0,0,0,0,1,3,AR,ED,
17UB,5,2018,July,26,1,60,R,0,0,0,0,0,0,0,0,0,2,3,0,AR,ED,no flowers
9UB,5,2018,July,26,1,12,R,0,0,0,0,0,0,0,0,0,1,2,1,AR,ED,
