"treatment","n_plants","n_fruit","n_full_seeds","mean_full_seeds","n_flower_heads","mean_flower_heads","mean_est_daily_flw_production","mean_est_total_observed_flw","total_stigma_collected","mean_stigma_collected","total_unpollinated_stigma","mean_unpollinated_stigma","total_n_visits","mean_n_visits","total_observation_time","mean_visit_rate","max_number_flowering_days","mean_flowering_days","min_number_flowering_days","median_flowering_duration","median_flowering_start_day","mean_flowering_start_day"
"B",47,19527,13855,294.787234042553,185,3.93617021276596,22.4717730496454,196.48085106383,585,12.4468085106383,109,2.31914893617021,305,6.48936170212766,464,0.603179284906444,22,10.3191489361702,1,10,11,10.5106382978723
"UB",46,18316,11152,242.434782608696,188,4.08695652173913,22.8706829161177,193.834782608696,512,11.1304347826087,136,2.95652173913043,243,5.28260869565217,450,0.55115537524425,22,10.3260869565217,1,9,8,8.71739130434783
