"plantID","treatment","n_focal_obs","max_flowering_heads","mean_flowering_heads","mean_daily_flowers","mean_date_flw","mean_date_heads","id","start","end","duration","firstDay","lastDay","pop","syn_aug","syn_o","syn_aug_sp","syn_o_sp","added"
"30B","B",9,3,1,10.3333333333333,204,207,"30B",8,22,15,2018-07-18,2018-08-01,"pop3",0.536170212765957,0.488133706093656,0.533333333333333,0.517357609710551,"original"
"30UB","UB",10,2,0.9,11.7,199,200,"30UB",1,16,16,2018-07-11,2018-07-26,"pop6",0.423913043478261,0.373525106133802,0.46875,0.383029701779702,"original"
"31B","B",5,1,0.8,9.4,208,209,"31B",13,22,10,2018-07-23,2018-08-01,"pop1",0.563829787234043,0.431961003886437,0.466666666666667,0.342847046314539,"added"
"31UB","UB",5,3,1,17,206,205,"31UB",13,16,4,2018-07-23,2018-07-26,"pop4",0.576086956521739,0.202661202821049,0.616666666666667,0.263872053872054,"added"
"32B","B",5,1,0.6,5.4,211,210,"32B",16,22,7,2018-07-26,2018-08-01,"pop1",0.577507598784195,0.374418781052073,0.485714285714286,0.313865970630677,"added"
"32UB","UB",5,1,0.8,10.8,208,209,"32UB",13,22,10,2018-07-23,2018-08-01,"pop4",0.51304347826087,0.370613700025465,0.433333333333333,0.321461675579323,"added"
"33B","B",5,2,1.2,13.4,209,210,"33B",16,22,7,2018-07-26,2018-08-01,"pop1",0.577507598784195,0.374418781052073,0.485714285714286,0.313865970630677,"added"
"33UB","UB",5,2,0.8,6,211,211,"33UB",16,22,7,2018-07-26,2018-08-01,"pop4",0.496894409937888,0.313350715780383,0.361904761904762,0.226557168321874,"added"
"34B","B",5,1,0.6,6.6,208,210,"34B",16,22,7,2018-07-26,2018-08-01,"pop2",0.577507598784195,0.374418781052073,0.542857142857143,0.316581784228843,"added"
"34UB","UB",5,3,1.6,21.8,206,210,"34UB",13,27,15,2018-07-23,2018-08-06,"pop5",0.363768115942029,0.297667291976755,0.311111111111111,0.26285032324248,"added"
"35B","B",5,1,0.8,14.6,207,209,"35B",13,22,10,2018-07-23,2018-08-01,"pop2",0.563829787234043,0.431961003886437,0.546666666666667,0.382780748663102,"added"
"35UB","UB",5,5,1,17.4,207,207,"35UB",16,16,1,2018-07-26,2018-07-26,"pop5",0.652173913043478,0.0644892937412119,0.6,0.057003367003367,"added"
"36B","B",5,3,1.2,10.6,213,214,"36B",20,27,8,2018-07-30,2018-08-06,"pop2",0.271276595744681,0.1579373206407,0.266666666666667,0.159929689047336,"added"
"36UB","UB",5,4,2.6,30.2,208,209,"36UB",13,22,10,2018-07-23,2018-08-01,"pop5",0.51304347826087,0.370613700025465,0.466666666666667,0.352151769798829,"added"
"37B","B",5,2,0.6,5.4,205,209,"37B",13,20,8,2018-07-23,2018-07-30,"pop3",0.566489361702128,0.352499079099764,0.625,0.407496626180837,"added"
"37UB","UB",5,1,0.6,5.8,210,210,"37UB",16,22,7,2018-07-26,2018-08-01,"pop6",0.496894409937888,0.313350715780383,0.602040816326531,0.306220670086216,"added"
"38B","B",5,2,1.2,18.6,207,209,"38B",13,22,10,2018-07-23,2018-08-01,"pop3",0.563829787234043,0.431961003886437,0.62,0.494516683866529,"added"
"38UB","UB",5,3,1.2,13.2,210,212,"38UB",16,27,12,2018-07-26,2018-08-06,"pop6",0.317028985507246,0.240571496325972,0.410714285714286,0.292965367965368,"added"
"39B","B",5,1,0.6,8.4,209,210,"39B",16,22,7,2018-07-26,2018-08-01,"pop3",0.577507598784195,0.374418781052073,0.647619047619048,0.409397759103641,"added"
"39UB","UB",5,1,0.8,9.4,207,209,"39UB",13,22,10,2018-07-23,2018-08-01,"pop6",0.51304347826087,0.370613700025465,0.578571428571429,0.353144894321365,"added"
"3B","B",9,5,1.55555555555556,28,209,210,"3B",11,22,12,2018-07-21,2018-08-01,"pop1",0.562056737588652,0.468697072639501,0.483333333333333,0.37961972667855,"original"
"3UB","UB",10,2,0.4,8.4,205,206,"3UB",13,16,4,2018-07-23,2018-07-26,"pop4",0.576086956521739,0.202661202821049,0.616666666666667,0.263872053872054,"original"
